norm,timestamp
451303581918222350,1663478915
451300490120729125,1663479107
451298368192018701,1663479239
451296657711479283,1663479347
451296089660936298,1663479383
451251924725863798,1663482275
451222538468766762,1663484159
451204349029964345,1663485335
451203425666445827,1663485395
451202315440273314,1663485467
451201203015495153,1663485539
451199910141334234,1663485623
451196943391735743,1663485815
451196201613202047,1663485863
451194905969005774,1663485947
451194535765067326,1663485971
451191585555745942,1663486163
451190855074174234,1663486211
451190123138317357,1663486259
451189386883584885,1663486307
451188083360939996,1663486391
451186426651273082,1663486499
451184204666399584,1663486643
451182538026213410,1663486751
451179960340448573,1663486919
451178666347039071,1663487003
451176796205230273,1663487123
451176053820241142,1663487171
451174577600163905,1663487267
451172926420414572,1663487375
451167106290289554,1663487795
451162914965766422,1663488119
451161373041989809,1663488239
451159985204959633,1663488347
451158280967365417,1663488479
451157178817080580,1663488563
451155141169066636,1663488719
451152779064407315,1663488899
451150893461083784,1663489043
451149798437220802,1663489127
451149486272441315,1663489151
451148861933620355,1663489199
451148393665206459,1663489235
451148237572126756,1663489247
451147611763249646,1663489295
451147142392261311,1663489331
451146985931648554,1663489343
451146829469848308,1663489355
451145108379967608,1663489487
451143230670946447,1663489631
451142444639665630,1663489691
451141974076933362,1663489727
451140868554352568,1663489811
451140228200566345,1663489859
451139577802537569,1663489907
451139092137319668,1663489943
451138771217319167,1663489967
451138135096266880,1663490015
451137498955917269,1663490063
451136385677122857,1663490147
451135429239173163,1663490219
451133212489260822,1663490387
451130550868958619,1663490591
451128981425844623,1663490711
451127717183158498,1663490807
451126467184505139,1663490903
451125060850874901,1663491011
451124279500501307,1663491071
451123178050499825,1663491155
451115939615282356,1663491707
451115465227051027,1663491743
451113423463871527,1663491899
451111219413363350,1663492067
451109802372006109,1663492175
451108385233883349,1663492283
451106185660233818,1663492451
451103812614184933,1663492631
451101913960331050,1663492775
451095756764615493,1663493243
451089325935106812,1663493735
451060476922347584,1663495787
451050782825109853,1663496483
451048963154306696,1663496615
451046482233763657,1663496807
451044981582042920,1663496927
451043473657153843,1663497047
451041965617630054,1663497167
451033631458251397,1663497827
451011266705198970,1663499495
451003561852890207,1663500059
450979299776135012,1663501907
450978826573584632,1663501943
450974072988840675,1663502303
450973441893601079,1663502351
450972968557724903,1663502387
450965237291334338,1663502975
450961532881179778,1663503251
450942060136915729,1663504667
450941393714501159,1663504715
450937728292467080,1663504979
450926674844700863,1663505807
450895541473293865,1663508159
450881097502692031,1663509251
450868276217757764,1663510211
450844868173396388,1663511951
450780853064636940,1663516715
450762414802305695,1663518143
450730145583059733,1663520675
450685362698803862,1663524167
450682260266015025,1663524371
450670627335614178,1663525187
450655134995512385,1663526351
450623578138617692,1663528715
450601967371129169,1663530227
450590920079331256,1663531031
450542795811632858,1663534547
450542053163331633,1663534607
450538497058357379,1663534883
450535389949488701,1663535123
450528870026887512,1663535591
450528365125150679,1663535627
450507183250690601,1663537187
450500115009130443,1663537679
450466603419271270,1663540091
450438973702912217,1663542035
450405066800497238,1663544495
450389662799140433,1663545623
450389502024272472,1663545635
450388379094896250,1663545719
450285688588427457,1663552787
450264321741510580,1663554251
450169487074480373,1663560851
450109280235524760,1663565015
450104607973642938,1663565363
450104109525009743,1663565399
450101073765736535,1663565615
450099710065046894,1663565711
450093841146533834,1663566119
450069244833784782,1663567811
450066678932532102,1663567991
450055117768839758,1663568771
450054582837072430,1663568807
450052796121649602,1663568927
450047146801370477,1663569311
450018656656119629,1663571255
449993350274887044,1663573019
449992850372150724,1663573055
449987945398220975,1663573403
449980810105403447,1663573907
449973687545730158,1663574411
449970797605300240,1663574615
449913579386414309,1663578587
449874888519505948,1663581191
449872955360437579,1663581323
449868588241025463,1663581623
449867531362234288,1663581695
449863671685451717,1663581959
449842351995299894,1663583423
449828938593723917,1663584347
449801997810702598,1663586183
449800731283811977,1663586267
449784380466211571,1663587371
449776586421860781,1663587899
449767833706548134,1663588499
449766273672981255,1663588607
449766099966931714,1663588619
449764886515394006,1663588703
449763513918093643,1663588799
449726807892596895,1663591319
449726637457662744,1663591331
449681711067619146,1663594355
449602914261578304,1663599779
449549582822209598,1663603343
449534411641778559,1663604375
449527408141372806,1663604867
449526207049129474,1663604951
449522743431286047,1663605179
449514197520095795,1663605755
449511181858238692,1663605959
449509559439197840,1663606067
449502681559392032,1663606535
449438106605062241,1663610807
449433118566694251,1663611131
449419471394291221,1663612019
449416496149488422,1663612211
449415380296087821,1663612283
449414642066505418,1663612331
449413929494210661,1663612379
449406122410188063,1663612907
449397270378530888,1663613519
449388410253032883,1663614119
449322560864163699,1663618559
449317938928214831,1663618871
449305921259658046,1663619687
449246107950884138,1663623635
449241997854051084,1663623911
449241281501871442,1663623959
449240742082297748,1663623995
449240379608868975,1663624019
